ランキング,店舗名,最寄り,評価,URL
62,らぁめん山と樹,高円寺駅,3.88,https://tabelog.com/tokyo/A1319/A131904/13204607/
63,Japanese Soba Noodles 蔦,代々木上原駅,3.87,https://tabelog.com/tokyo/A1318/A131811/13241560/
64,中華ソバ ちゃるめ,糀谷駅,3.86,https://tabelog.com/tokyo/A1315/A131504/13231202/
65,濃厚ラーメン かなや,方南町駅,3.74,https://tabelog.com/tokyo/A1319/A131903/13218139/
66,らぁめん小池,上北沢駅,3.79,https://tabelog.com/tokyo/A1318/A131809/13172994/
67,煮干そば 流。,十条駅,3.76,https://tabelog.com/tokyo/A1323/A132304/13175140/
68,味噌っ子 ふっく,荻窪駅,3.82,https://tabelog.com/tokyo/A1319/A131906/13226777/
69,六厘舎,東京駅,3.79,https://tabelog.com/tokyo/A1302/A130201/13093047/
70,麺屋一燈,新小岩駅,3.84,https://tabelog.com/tokyo/A1312/A131204/13111737/
71,煮干鰮らーめん 圓 八王子本店,京王八王子駅,3.79,https://tabelog.com/tokyo/A1329/A132904/13091258/
72,麺屋吉左右,木場駅,3.79,https://tabelog.com/tokyo/A1313/A131303/13021140/
73,つけ麺 道,亀有駅,3.82,https://tabelog.com/tokyo/A1324/A132403/13094595/
74,田中商店 本店,六町駅,3.79,https://tabelog.com/tokyo/A1324/A132404/13003726/
75,麺処 晴,入谷駅,3.79,https://tabelog.com/tokyo/A1311/A131104/13143115/
76,中華そば屋 伊藤,王子神谷駅,3.79,https://tabelog.com/tokyo/A1323/A132304/13008779/
77,麺処 篠はら,要町駅,3.79,https://tabelog.com/tokyo/A1322/A132202/13188419/
78,風雲児,南新宿駅,3.78,https://tabelog.com/tokyo/A1304/A130401/13044091/
79,麺屋ひょっとこ 交通会館店,有楽町駅,3.78,https://tabelog.com/tokyo/A1301/A130102/13046637/
80,むぎとオリーブ 銀座店,東銀座駅,3.78,https://tabelog.com/tokyo/A1301/A130101/13164932/
81,はやし,渋谷駅,3.78,https://tabelog.com/tokyo/A1303/A130301/13003367/
82,こうかいぼう,門前仲町駅,3.79,https://tabelog.com/tokyo/A1313/A131303/13005052/
83,銀座 朧月,銀座駅,3.78,https://tabelog.com/tokyo/A1301/A130101/13118141/
84,麺屋 翔 本店,西武新宿駅,3.78,https://tabelog.com/tokyo/A1304/A130401/13040181/
85,青島食堂 秋葉原店,岩本町駅,3.78,https://tabelog.com/tokyo/A1310/A131001/13094776/
86,麺や 七彩,八丁堀駅,3.78,https://tabelog.com/tokyo/A1302/A130203/13184399/
87,ソラノイロ ARTISAN NOODLES,麹町駅,3.80,https://tabelog.com/tokyo/A1308/A130803/13126816/
88,はつね,西荻窪駅,3.78,https://tabelog.com/tokyo/A1319/A131907/13000717/
89,竹末東京Premium,押上駅,3.81,https://tabelog.com/tokyo/A1312/A131203/13167920/
90,神名備,西日暮里駅,3.78,https://tabelog.com/tokyo/A1311/A131105/13006070/
91,たんたん亭,浜田山駅,3.78,https://tabelog.com/tokyo/A1318/A131805/13000705/
92,燦燦斗,東十条駅,3.78,https://tabelog.com/tokyo/A1323/A132304/13038064/
93,喜楽,神泉駅,3.77,https://tabelog.com/tokyo/A1303/A130301/13001705/
94,つけ麺 五ノ神製作所 新宿店,新宿三丁目駅,3.78,https://tabelog.com/tokyo/A1304/A130401/13120708/
95,ラーメン二郎 三田本店,三田駅,3.77,https://tabelog.com/tokyo/A1314/A131402/13006051/
96,四川担担麺 阿吽 湯島本店,湯島駅,3.77,https://tabelog.com/tokyo/A1311/A131101/13042564/
97,麺処 銀笹,築地市場駅,3.77,https://tabelog.com/tokyo/A1301/A130103/13119563/
98,ラーメン大至,御茶ノ水駅,3.76,https://tabelog.com/tokyo/A1310/A131002/13042832/
99,麺屋 Hulu-lu,池袋駅,3.77,https://tabelog.com/tokyo/A1305/A130501/13136428/
100,煮干しつけ麺 宮元,蒲田駅,3.78,https://tabelog.com/tokyo/A1315/A131503/13180862/
