店舗名,最寄り,評価,URL
三ん寅,江戸川橋駅,3.88,https://tabelog.com/tokyo/A1309/A130905/13240660/
中華蕎麦 ひら井,北府中駅,3.88,https://tabelog.com/tokyo/A1326/A132602/13259078/
タンタン,八王子駅,3.87,https://tabelog.com/tokyo/A1329/A132904/13046007/
つけ麺 道,亀有駅,3.87,https://tabelog.com/tokyo/A1324/A132403/13094595/
中華そば 児ノ木,落合駅,3.87,https://tabelog.com/tokyo/A1319/A131901/13154006/
支那ソバ おさだ,大山駅,3.86,https://tabelog.com/tokyo/A1322/A132203/13266841/
らぁめん 葉月,雪が谷大塚駅,3.86,https://tabelog.com/tokyo/A1317/A131714/13008248/
Ramen Break Beats,祐天寺駅,3.86,https://tabelog.com/tokyo/A1317/A131701/13267329/
らぁめん 山と樹,高円寺駅,3.86,https://tabelog.com/tokyo/A1319/A131904/13204607/
麺処 ほん田 秋葉原本店,秋葉原駅,3.86,https://tabelog.com/tokyo/A1310/A131001/13246285/
手打麺祭 かめ囲,柴崎駅,3.86,https://tabelog.com/tokyo/A1326/A132601/13273350/
柴崎亭 つつじヶ丘本店,つつじケ丘駅,3.85,https://tabelog.com/tokyo/A1326/A132601/13135162/
函館塩ラーメン 五稜郭,荻窪駅,3.85,https://tabelog.com/tokyo/A1319/A131906/13154596/
一条流がんこ総本家分家四谷荒木町,四谷三丁目駅,3.85,https://tabelog.com/tokyo/A1309/A130903/13126058/
カネキッチン ヌードル,東長崎駅,3.85,https://tabelog.com/tokyo/A1321/A132101/13203355/
つけめん金龍,小川町駅,3.84,https://tabelog.com/tokyo/A1310/A131002/13259807/
ラーメン屋 トイ・ボックス,三ノ輪橋駅,3.84,https://tabelog.com/tokyo/A1324/A132401/13162973/
西永福の煮干箱,西永福駅,3.84,https://tabelog.com/tokyo/A1318/A131805/13263789/
中華蕎麦 蘭鋳,方南町駅,3.84,https://tabelog.com/tokyo/A1319/A131903/13113532/
Ramen にじゅうぶんのいち,東尾久三丁目駅,3.84,https://tabelog.com/tokyo/A1324/A132401/13147594/
燦燦斗,東十条駅,3.83,https://tabelog.com/tokyo/A1323/A132304/13038064/
らーめんMAIKAGURA,千歳船橋駅,3.83,https://tabelog.com/tokyo/A1318/A131813/13218425/
中洲屋台長浜ラーメン初代 健太 東京高円寺本店,高円寺駅,3.83,https://tabelog.com/tokyo/A1319/A131904/13183596/
ほっこり中華そば もつけ,八王子駅,3.83,https://tabelog.com/tokyo/A1329/A132904/13192847/
寿製麺 よしかわ 西台駅前店,西台駅,3.82,https://tabelog.com/tokyo/A1322/A132205/13228611/
中華そば屋 伊藤,王子神谷駅,3.82,https://tabelog.com/tokyo/A1323/A132304/13008779/
ラーメン 健やか,三鷹駅,3.82,https://tabelog.com/tokyo/A1320/A132002/13207054/
中華蕎麦にし乃,本郷三丁目駅,3.82,https://tabelog.com/tokyo/A1310/A131004/13218311/
麺笑 巧真,京王八王子駅,3.81,https://tabelog.com/tokyo/A1329/A132904/13246669/
キング製麺,王子駅前駅,3.81,https://tabelog.com/tokyo/A1323/A132303/13232817/
一番いちばん,町田駅,3.81,https://tabelog.com/tokyo/A1327/A132701/13001469/
中華ソバ ちゃるめ,糀谷駅,3.81,https://tabelog.com/tokyo/A1315/A131504/13231202/
麺や金時,江古田駅,3.81,https://tabelog.com/tokyo/A1321/A132101/13139195/
あさひ町内会,板橋区役所前駅,3.81,https://tabelog.com/tokyo/A1322/A132205/13244535/
鴨出汁中華蕎麦 麺屋yoshiki,新小岩駅,3.80,https://tabelog.com/tokyo/A1312/A131204/13242295/
神名備,西日暮里駅,3.80,https://tabelog.com/tokyo/A1311/A131105/13006070/
こうかいぼう,門前仲町駅,3.80,https://tabelog.com/tokyo/A1313/A131303/13005052/
メンドコロ キナリ,東中野駅,3.80,https://tabelog.com/tokyo/A1319/A131901/13221001/
麺尊 RAGE,西荻窪駅,3.80,https://tabelog.com/tokyo/A1319/A131907/13178309/
