店舗名,最寄り,評価,ランチ,ディナー,URL
カレー食堂 リトルスパイス,吉祥寺駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1320/A132001/13009943/
ガネーシュ N,大阪天満宮駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270103/27065938/
奥芝商店 八王子田代城,八王子駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1329/A132904/13048177/
ガンジー,新宿三丁目駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1304/A130401/13000880/
SOMA,中津駅（阪急）,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27065233/
まめ蔵,吉祥寺駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1320/A132001/13005789/
ジンコック,淡路町駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13102075/
プティフ・ア・ラ・カンパーニュ,半蔵門駅,3.75,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1308/A130803/13000254/
ホンカトリー,御茶ノ水駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13210157/
カリーアップ,北参道駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1306/A130601/13103835/
ラヴィリンス,西大橋駅,3.74,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270201/27051602/
CURRY SHOP くじら 高円寺,高円寺駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1319/A131904/13149528/
カリガリ 秋葉原,末広町駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131101/13178599/
フレンチカレー スプーン,西荻窪駅,3.74,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1319/A131907/13093699/
レベルカレー,本町駅,3.74,"￥1,000～￥1,999",-,https://tabelog.com/osaka/A2701/A270106/27082257/
スパイシーカリーハウス半月,西武新宿駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1304/A130401/13211678/
ホットスプーン,五反田駅,3.74,～￥999,～￥999,https://tabelog.com/tokyo/A1316/A131603/13024328/
カレーノトリコ,神田駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13224725/
チャントーヤ ココナッツカリー,新御茶ノ水駅,3.74,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13131134/
SAVOY,神戸三宮駅（阪急）,3.73,～￥999,～￥999,https://tabelog.com/hyogo/A2801/A280101/28000095/
カリーシュダ,茅場町駅,3.73,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130203/13020472/
