店舗名,最寄り,評価,ランチ,ディナー,URL
イワタコーヒー店,鎌倉駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1404/A140402/14002091/
珈琲貴族エジンバラ,新宿三丁目駅,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1304/A130401/13017217/
BUCYO COFFEE,近鉄名古屋駅,3.67,～￥999,～￥999,https://tabelog.com/aichi/A2301/A230101/23007465/
月光茶房,表参道駅,3.67,-,～￥999,https://tabelog.com/tokyo/A1306/A130602/13010596/
ダンケ 心斎橋,心斎橋駅,3.67,～￥999,～￥999,https://tabelog.com/osaka/A2701/A270201/27053278/
自家焙煎珈琲工房 カフェ バーンホーフ 三番街店,大阪梅田駅（阪急）,3.67,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27011966/
コーヒーハウス マキ,出町柳駅,3.67,～￥999,～￥999,https://tabelog.com/kyoto/A2601/A260302/26009412/
純喫茶 アメリカン,日本橋駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270202/27005758/
ツェーンコーヒー,湯島駅,3.66,～￥999,-,https://tabelog.com/tokyo/A1311/A131101/13043953/
喫茶チロル,二条城前駅,3.66,"￥1,000～￥1,999",～￥999,https://tabelog.com/kyoto/A2601/A260203/26002251/
珈琲館 紅鹿舎,日比谷駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130102/13002146/
シビタス,蒲田駅,3.66,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1315/A131503/13045798/
珈琲亭 ルアン,大森駅,3.66,～￥999,～￥999,https://tabelog.com/tokyo/A1315/A131502/13008294/
ロッジ赤石,浅草駅（つくばＥＸＰ）,3.66,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131102/13058004/
珈琲専門店 エース,神田駅,3.66,～￥999,～￥999,https://tabelog.com/tokyo/A1310/A131002/13020976/
カフェ香咲,外苑前駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1306/A130601/13001955/
珈琲美美,桜坂駅,3.66,"￥1,000～￥1,999",～￥999,https://tabelog.com/fukuoka/A4001/A400105/40000004/
生きている珈琲,京都河原町駅,3.66,"￥1,000～￥1,999",～￥999,https://tabelog.com/kyoto/A2601/A260201/26017295/
六曜社 地下店,京都市役所前駅,3.66,～￥999,～￥999,https://tabelog.com/kyoto/A2601/A260202/26000159/
カフェ・アンセーニュ・ダングル 自由が丘店,自由が丘駅,3.66,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131703/13017724/
さぼうる 2,神保町駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13011604/
珈琲道場 侍,亀戸駅,3.65,～￥999,～￥999,https://tabelog.com/tokyo/A1312/A131202/13018018/
モトマチ喫茶,元町駅（ＪＲ）,3.65,-,～￥999,https://tabelog.com/hyogo/A2801/A280102/28024154/
DEN,鶯谷駅,3.65,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1311/A131104/13041212/
KAKO 柳橋店,国際センター駅,3.65,～￥999,～￥999,https://tabelog.com/aichi/A2301/A230101/23032087/
一六珈琲店,立川駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1329/A132901/13039610/
みやざわ,新橋駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130103/13024142/
サンシャイン,東梅田駅,3.65,～￥999,"￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27038064/
アラビヤコーヒー,大阪難波駅,3.65,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270202/27001511/
珈琲 まるも,松本駅,3.64,～￥999,～￥999,https://tabelog.com/nagano/A2002/A200201/20000622/
エレーナ,石川町駅,3.64,"￥1,000～￥1,999",～￥999,https://tabelog.com/kanagawa/A1401/A140105/14007970/
文明堂茶館 ル・カフェ,関内駅,3.64,～￥999,～￥999,https://tabelog.com/kanagawa/A1401/A140104/14003248/
茶房 天井棧敷,由布院駅,3.64,"￥1,000～￥1,999",-,https://tabelog.com/oita/A4402/A440201/44000043/
加藤珈琲店,久屋大通駅,3.64,～￥999,～￥999,https://tabelog.com/aichi/A2301/A230103/23006305/
トロワ・シャンブル,下北沢駅,3.64,～￥999,～￥999,https://tabelog.com/tokyo/A1318/A131802/13013091/
築地,京都河原町駅,3.64,"￥1,000～￥1,999",～￥999,https://tabelog.com/kyoto/A2601/A260201/26001588/
喫茶 いち,千里中央駅,3.64,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2706/A270601/27012020/
ピノキオ,大山駅,3.64,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132203/13088456/
高木珈琲店 高辻本店,四条駅（京都市営）,3.64,～￥999,-,https://tabelog.com/kyoto/A2601/A260201/26005195/
エビアンコーヒー,元町駅（阪神）,3.64,～￥999,～￥999,https://tabelog.com/hyogo/A2801/A280102/28000650/
ワンモア,平井駅,3.64,"￥1,000～￥1,999",-,https://tabelog.com/tokyo/A1312/A131202/13002937/
元町サントス,元町駅（阪神）,3.64,～￥999,～￥999,https://tabelog.com/hyogo/A2801/A280102/28001590/
トミィ,錦糸町駅,3.63,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1312/A131201/13007983/
珈琲 天国,浅草駅（つくばＥＸＰ）,3.62,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131102/13025425/
六曜社珈琲店,京都市役所前駅,3.62,～￥999,～￥999,https://tabelog.com/kyoto/A2601/A260202/26013227/
前田珈琲 室町本店,烏丸駅,3.60,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260201/26001559/
馬車道十番館,馬車道駅,3.57,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/kanagawa/A1401/A140104/14000115/
