店舗名,最寄り,評価,ランチ,ディナー,URL
夏目亭,飯田橋駅,3.61,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1309/A130905/13133484/
ビストロ ハッチ,吉祥寺駅,3.60,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1320/A132001/13144978/
セラヴィーナガノ,新宿御苑前駅,3.60,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1304/A130402/13006752/
ビストロ エビス,恵比寿駅,3.60,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130302/13113672/
Wineshop & Diner FUJIMARU 浅草橋店,浅草橋駅,3.60,"￥4,000～￥4,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1311/A131103/13167076/
ブション・ドール,東銀座駅,3.59,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1301/A130101/13095796/
Nico,新日本橋駅,3.59,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1302/A130202/13144586/
ビストロ横丁,国際センター駅,3.59,～￥999,"￥3,000～￥3,999",https://tabelog.com/aichi/A2301/A230101/23040138/
ピレネー,軽井沢駅,3.59,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/nagano/A2003/A200301/20001312/
オシノ,鎌倉駅,3.58,"￥5,000～￥5,999","￥6,000～￥7,999",https://tabelog.com/kanagawa/A1404/A140402/14011843/
ル・クロ・モンマルトル,飯田橋駅,3.58,"￥3,000～￥3,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1309/A130905/13004086/
ドラード,栄駅（名古屋）,3.58,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/aichi/A2301/A230102/23029870/
ブラッスリー・ヴィロン 渋谷店,神泉駅,3.57,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1303/A130301/13004627/
ラ メゾン ダミ,目黒駅,3.57,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1316/A131601/13108348/
ブラッスリー・グー,牛込神楽坂駅,3.57,-,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1309/A130905/13000470/
ラターシュ,神楽坂駅,3.57,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1309/A130905/13040986/
ビストロ バキュース,西大橋駅,3.56,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270201/27012167/
ブラッスリー・ヴィロン 丸の内店,東京駅,3.56,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1302/A130201/13020161/
ビストロ ヴィヴィエンヌ,東銀座駅,3.56,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1301/A130101/13049131/
ビストロ ダ アンジュ,大阪難波駅,3.55,"￥2,000～￥2,999","￥5,000～￥5,999",https://tabelog.com/osaka/A2701/A270201/27000852/
ジョンティ,浅草橋駅,3.55,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1311/A131103/13091587/
ポンデュガール,新富町駅,3.55,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1313/A131301/13026093/
ビストロ シャンパーニュ,北新地駅,3.54,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270101/27046512/
ビストロ ド ラ シテ,広尾駅,3.54,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130703/13001286/
スモールワンダーランド,東銀座駅,3.54,-,"￥6,000～￥7,999",https://tabelog.com/tokyo/A1301/A130101/13133525/
アデニア,渋谷駅,3.54,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1303/A130301/13139147/
ビストロ K 中目黒,中目黒駅,3.54,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1317/A131701/13115893/
ブラッスリー ポール・ボキューズ 銀座,銀座一丁目駅,3.53,"￥5,000～￥5,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1301/A130101/13042760/
ブラッスリーオザミ丸の内,有楽町駅,3.52,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1301/A130102/13005655/
ツイテル,中野駅,3.52,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1319/A131902/13132600/
シャンパン食堂,北新地駅,3.52,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/osaka/A2701/A270101/27058412/
ビストロ デ シュナパン,阿波座駅,3.52,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270105/27070944/
ボン・グゥ 神楽坂,神楽坂駅,3.52,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1309/A130905/13138155/
Bistro Q,赤坂駅,3.52,"￥1,000～￥1,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130802/13115397/
