店舗名,最寄り,評価,ランチ,ディナー,URL
焼鳥みなみ,北新地駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270101/27086735/
文ちゃん,飯田橋駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130905/13011406/
世良田,麻布十番駅,3.71,-,"￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130702/13012994/
焼き鳥 峠,牛込神楽坂駅,3.71,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1309/A130905/13225479/
焼鳥 やまね,天満駅,3.71,-,"￥5,000～￥5,999",https://tabelog.com/osaka/A2701/A270103/27066479/
炭火焼 鳥清,長堀橋駅,3.70,-,"￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270201/27118868/
焼鳥と日本酒 地鶏らぼ,片原町駅（高松）,3.69,-,"￥10,000～￥14,999",https://tabelog.com/kagawa/A3701/A370101/37008870/
ぽんず,徳島駅,3.69,-,"￥5,000～￥5,999",https://tabelog.com/tokushima/A3601/A360101/36005708/
鳥好,秋田駅,3.69,-,"￥10,000～￥14,999",https://tabelog.com/akita/A0501/A050101/5007853/
炭焼創彩鳥家 人見,三条京阪駅,3.69,-,"￥6,000～￥7,999",https://tabelog.com/kyoto/A2601/A260301/26005610/
焼鳥 美鶏,日本大通り駅,3.69,-,"￥6,000～￥7,999",https://tabelog.com/kanagawa/A1401/A140104/14064998/
焼鳥今井,外苑前駅,3.69,"￥1,000～￥1,999","￥15,000～￥19,999",https://tabelog.com/tokyo/A1306/A130603/13025995/
くちばしモダン,烏丸駅,3.69,-,"￥6,000～￥7,999",https://tabelog.com/kyoto/A2601/A260201/26022582/
串焼 大助,大門駅,3.69,-,"￥8,000～￥9,999",https://tabelog.com/tokyo/A1314/A131401/13116576/
ココロ,阿波富田駅,3.69,-,"￥6,000～￥7,999",https://tabelog.com/tokushima/A3601/A360101/36000286/
鶏料理・焼きとり　纜,反町駅,3.68,-,"￥5,000～￥5,999",https://tabelog.com/kanagawa/A1401/A140205/14000610/
炭火焼鳥 いこか,堺筋本町駅,3.68,-,"￥8,000～￥9,999",https://tabelog.com/osaka/A2701/A270106/27092595/
赤坂 鳥結,赤坂駅,3.68,-,"￥15,000～￥19,999",https://tabelog.com/tokyo/A1308/A130801/13177720/
おが和,人形町駅,3.68,"￥1,000～￥1,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1302/A130204/13063782/
伸喜,桜木町駅,3.68,-,"￥2,000～￥2,999",https://tabelog.com/kanagawa/A1401/A140102/14000552/
床島,西太子堂駅,3.67,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1317/A131706/13114433/
炭心,大街道駅,3.67,-,"￥6,000～￥7,999",https://tabelog.com/ehime/A3801/A380101/38001214/
