店舗名,最寄り,評価,ランチ,ディナー,URL
エース バーガー カフェ,五十鈴ケ丘駅,3.63,"￥1,000～￥1,999",-,https://tabelog.com/mie/A2403/A240301/24013160/
フランクリン・アベニュー,五反田駅,3.63,-,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1316/A131603/13001556/
CENTER4 HAMBURGERS,高山駅,3.63,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/gifu/A2104/A210401/21009922/
Craft Burger co. 北堀江店,四ツ橋駅,3.63,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270201/27088635/
ゴーディーズ,沖縄,3.62,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okinawa/A4703/A470304/47002074/
マクレーン オールドバーガースタンド,蔵前駅,3.62,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1311/A131103/13195774/
オーセンティック,赤坂駅,3.62,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1308/A130802/13030795/
BURGER&MILKSHAKE CRANE,末広町駅,3.62,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1311/A131101/13202745/
THE BURGER SHOP,麹町駅,3.61,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1308/A130803/13217432/
ヘンリーズ バーガー 代官山,代官山駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130303/13190156/
レイヤーズ 丸の内 本店,久屋大通駅,3.61,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/aichi/A2301/A230103/23006213/
フラノバーガー,富良野駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0104/A010403/1025264/
ブラザーズ 新富町店,新富町駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1313/A131301/13144295/
コージーズ,城下駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okayama/A3301/A330101/33000310/
バーガーマニア 白金店,白金台駅,3.61,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1316/A131602/13047335/
チンズバーガーマーケット,北高崎駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/gunma/A1001/A100102/10013222/
ザ グレートバーガー,明治神宮前駅,3.61,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1306/A130601/13042654/
ジャックスピザアンドバーガーズ,塚口駅（阪急）,3.61,～￥999,～￥999,https://tabelog.com/hyogo/A2803/A280304/28034838/
バーガーマニア 広尾店,広尾駅,3.61,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1307/A130703/13123717/
ブラザーズ 日本橋高島屋店,日本橋駅,3.61,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1302/A130202/13226533/
エーエス クラシックス ダイナー KOMAZAWA,駒沢大学駅,3.61,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1317/A131707/13022762/
さくらバーガー,近鉄奈良駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/nara/A2901/A290101/29006078/
らりるれろ 大野店,泉福寺駅,3.60,～￥999,-,https://tabelog.com/nagasaki/A4202/A420201/42009031/
ザ ブッチャー,難波駅（南海）,3.60,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/osaka/A2701/A270202/27091986/
Viva la Burger,池袋駅,3.59,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1322/A132202/13233786/
GRILL BURGER CLUB SASA,代官山駅,3.59,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130303/13086561/
ハングリーヘブン 福岡今泉店,西鉄福岡駅（天神）,3.58,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400103/40029521/
ハングリー ヘブン 上板橋店,上板橋駅,3.58,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1322/A132203/13204777/
バーガーマニア 恵比寿店,恵比寿駅,3.58,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130302/13166437/
ロコフィ,大森町駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1315/A131502/13120770/
REDS’ BURGER STORE,あすなろう四日市駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/mie/A2402/A240201/24011883/
ブコウスキー,本川越駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/saitama/A1103/A110303/11025678/
ブラッカウズ,代官山駅,3.57,"￥3,000～￥3,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1303/A130302/13096437/
66,柏駅,3.57,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/chiba/A1203/A120301/12004138/
マティーニバーガー,神楽坂駅,3.57,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1309/A130905/13117569/
グレイビーバーガー,鼓ケ浦駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/mie/A2402/A240202/24014591/
ノンズ・バーガー・イズ・ヘブンリー,各務原市役所前駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/gifu/A2101/A210102/21016569/
CHATTY CHATTY,新宿御苑前駅,3.56,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1304/A130402/13171395/
ラコスバーガー,郵便局前駅,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okayama/A3301/A330101/33000365/
BAREBURGER 自由が丘店,自由が丘駅,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131703/13184951/
イーストヴィレッジ,池袋駅,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1305/A130501/13054782/
自由が丘バーガー 本店,自由が丘駅,3.55,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1317/A131703/13054778/
ととらべべハンバーガー,沖縄,3.55,"￥1,000～￥1,999",-,https://tabelog.com/okinawa/A4702/A470202/47009499/
ダグズ・バーガー 宮古島本店,沖縄,3.55,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/okinawa/A4705/A470503/47009921/
ハングリー ヘブン 目黒店,目黒駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1316/A131601/13119994/
アームズ,代々木八幡駅,3.53,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1318/A131810/13019608/
ウーピーゴールドバーガー,渋谷駅,3.53,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130301/13121586/
佐世保バーガー BigMan 京町本店,佐世保中央駅,3.53,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/nagasaki/A4202/A420201/42000078/
サニーダイナー 本店,北千住駅,3.53,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1324/A132402/13033094/
ホーミーズ,高田馬場駅,3.53,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1305/A130503/13151157/
トミーズ,本諫早駅,3.53,"￥1,000～￥1,999",～￥999,https://tabelog.com/nagasaki/A4204/A420401/42005984/
ヴィレッジヴァンガード ダイナー 吉祥寺,吉祥寺駅,3.52,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1320/A132001/13005797/
クリッターズバーガー,心斎橋駅,3.52,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270201/27041627/
ファンゴー 三宿本店,三軒茶屋駅,3.52,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131706/13008406/
サニーダイナー ルミネ北千住店,北千住駅,3.51,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1324/A132402/13094114/
ハニービー,汐入駅,3.50,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1406/A140601/14000902/
BeBu,虎ノ門ヒルズ駅,3.50,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1308/A130802/13169029/
