店舗名,最寄り,評価,ランチ,ディナー,URL
厳選洋食さくらい,上野広小路駅,3.61,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1311/A131101/13003638/
ルー・ド・メール,神田駅,3.61,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13009148/
ミート矢澤,五反田駅,3.60,"￥4,000～￥4,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1316/A131603/13042320/
レストラン クインベル,両国駅,3.60,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1312/A131201/13017962/
洋食屋牛銀,松阪駅,3.60,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/mie/A2401/A240102/24000063/
小古食堂,東陽町駅,3.60,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1313/A131303/13111762/
マルシェ,花隈駅,3.60,"￥1,000～￥1,999",-,https://tabelog.com/hyogo/A2801/A280102/28001012/
欧風料理 もん,神戸三宮駅（阪急）,3.59,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280101/28000531/
洋食キムラ 野毛店,桜木町駅,3.59,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kanagawa/A1401/A140102/14000046/
ウチョウテン,都電雑司ケ谷駅,3.59,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1305/A130501/13003914/
グリル 小宝,東山駅,3.59,～￥999,-,https://tabelog.com/kyoto/A2601/A260301/26000009/
赤坂 津つ井 総本店,赤坂駅,3.59,"￥3,000～￥3,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1307/A130701/13002829/
レストラン カタヤマ 東向島本店,東向島駅,3.58,"￥2,000～￥2,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1312/A131203/13017945/
キッチン たか,四谷三丁目駅,3.58,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1309/A130903/13130525/
ヨシカミ 浅草店,浅草駅（つくばＥＸＰ）,3.58,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1311/A131102/13003654/
グリル一平 新開地本店,新開地駅,3.58,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/hyogo/A2801/A280109/28000390/
キッチン パンチ,中目黒駅,3.58,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1317/A131701/13018284/
レストラン桂,三越前駅,3.57,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1302/A130202/13011199/
ムグニ,大阪難波駅,3.57,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270201/27014566/
グリルエフ,五反田駅,3.57,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1316/A131603/13001552/
めぐろ三ツ星食堂,目黒駅,3.57,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1316/A131601/13013942/
seiohtei 新宿店,新宿三丁目駅,3.57,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1304/A130401/13012100/
れすとらん 源ちゃん,長堀橋駅,3.57,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/osaka/A2701/A270201/27003946/
紅花別館,日本橋駅,3.56,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1302/A130202/13000487/
グリル＆コーヒー はせがわ,北大路駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260503/26001680/
美味卵家,神田駅,3.56,"￥2,000～￥2,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13009141/
ラミ,旧居留地・大丸前駅,3.56,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hyogo/A2801/A280102/28000541/
黒船亭,京成上野駅,3.56,"￥4,000～￥4,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1311/A131101/13003640/
御茶ノ水 小川軒,御茶ノ水駅,3.56,"￥3,000～￥3,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131002/13005532/
エルベ,東銀座駅,3.55,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1301/A130101/13007617/
重亭,難波駅（南海）,3.55,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270202/27001308/
キッチンさくらい,御徒町駅,3.54,"￥2,000～￥2,999","￥5,000～￥5,999",https://tabelog.com/tokyo/A1311/A131101/13118917/
津々井,茅場町駅,3.54,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1302/A130203/13002395/
味のおぐら 本店,宮崎駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/miyazaki/A4501/A450101/45000012/
明治の館,東武日光駅,3.54,"￥3,000～￥3,999","￥2,000～￥2,999",https://tabelog.com/tochigi/A0903/A090301/9000107/
キッチン チェック,池袋駅,3.54,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1305/A130501/13003941/
東洋軒 名古屋三越店,栄駅（名古屋）,3.53,"￥3,000～￥3,999","￥2,000～￥2,999",https://tabelog.com/aichi/A2301/A230103/23000694/
そよいち,人形町駅,3.53,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1302/A130204/13056047/
フランキーアンドトリニティー,中野坂上駅,3.52,～￥999,～￥999,https://tabelog.com/tokyo/A1319/A131903/13046008/
おまかせ亭,渋谷駅,3.52,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130301/13007048/
銀之塔,東銀座駅,3.52,"￥2,000～￥2,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1301/A130101/13002320/
煉瓦亭,銀座駅,3.51,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13002430/
グリル マルヨシ,天王寺駅前駅,3.51,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270203/27056274/
蜂の子,新富町駅,3.51,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1313/A131301/13148773/
グリル欧風軒,東梅田駅,3.51,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27019947/
明治軒,心斎橋駅,3.50,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270201/27001834/
キートス,谷町四丁目駅,3.50,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/osaka/A2701/A270104/27072121/
キッチン大正軒,有楽町駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130102/13054085/
ブルドック,大井町駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1315/A131501/13001867/
チャモロ,恵比寿駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13003160/
Ｇｒｉｌｌマッシュ,恵比寿駅,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130302/13043306/
ぶどう亭,東梅田駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27003837/
むさしや,新橋駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130103/13023938/
洋食 小春軒,人形町駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130204/13003031/
キッチンABC 池袋東口店,池袋駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1305/A130501/13130238/
数寄屋バーグ,銀座駅,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1301/A130101/13037829/
