店舗名,最寄り,評価,ランチ,ディナー,URL
高城庵,鹿児島,3.54,"￥2,000～￥2,999",-,https://tabelog.com/kagoshima/A4601/A460105/46000828/
動坂食堂,田端駅,3.53,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1323/A132301/13008505/
巣鴨ときわ食堂 本店,庚申塚駅,3.53,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1323/A132301/13012336/
洋庖丁 板橋店,新板橋駅,3.53,～￥999,～￥999,https://tabelog.com/tokyo/A1322/A132201/13008895/
ボンバーキッチン 薬院本店,薬院大通駅,3.52,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400104/40006396/
魚力,代々木公園駅,3.52,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1318/A131810/13012554/
大衆割烹 三州屋 銀座本店,銀座一丁目駅,3.52,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130101/13002473/
とんかつ八千代,市場前駅,3.52,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1313/A131306/13227143/
まるは食堂旅館 南知多豊浜本店,愛知,3.51,"￥2,000～￥2,999","￥3,000～￥3,999",https://tabelog.com/aichi/A2304/A230403/23000853/
天神わっぱ定食堂,天神南駅,3.51,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400103/40020829/
わっぱ定食堂 警固本店,赤坂駅,3.51,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400104/40000359/
キッチン竹乃子,秋葉原駅,3.51,"￥1,000～￥1,999",～￥999,https://tabelog.com/tokyo/A1311/A131101/13106652/
さかな亭,新橋駅,3.51,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1301/A130103/13021207/
一汁三菜,広尾駅,3.51,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1307/A130703/13056496/
あげもんや,高円寺駅,3.51,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1319/A131904/13176997/
国八食堂,上枝駅,3.50,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/gifu/A2104/A210401/21001354/
玄三庵 西梅田店,北新地駅,3.50,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270101/27050674/
普通の食堂いわま,難波駅（南海）,3.50,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/osaka/A2701/A270202/27059653/
大衆割烹 三州屋 銀座一丁目支店,銀座一丁目駅,3.50,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1301/A130101/13002439/
池のや,勝どき駅,3.50,～￥999,"￥5,000～￥5,999",https://tabelog.com/tokyo/A1313/A131302/13029086/
紀乃川,沖縄,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/okinawa/A4702/A470202/47000203/
洋庖丁 池袋店,池袋駅,3.49,～￥999,～￥999,https://tabelog.com/tokyo/A1305/A130501/13114697/
みどり食堂,山陽明石駅,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/hyogo/A2804/A280401/28008023/
とりかつ チキン,神泉駅,3.49,～￥999,～￥999,https://tabelog.com/tokyo/A1303/A130301/13001699/
味楽,大崎駅,3.49,～￥999,"￥4,000～￥4,999",https://tabelog.com/tokyo/A1316/A131604/13028770/
宇宙軒食堂,野町駅,3.49,"￥1,000～￥1,999",～￥999,https://tabelog.com/ishikawa/A1701/A170101/17000078/
みかど,県庁前駅,3.49,～￥999,～￥999,https://tabelog.com/okinawa/A4701/A470101/47000095/
とん金,大崎広小路駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1316/A131603/13025438/
キッチン グラン,神保町駅,3.49,～￥999,"￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13006408/
丸子亭,中野駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1319/A131902/13001091/
ヒモノ食堂 四日市食堂,富田駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/mie/A2402/A240201/24001729/
たんやHAKATA,博多駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400101/40026439/
ごはん処　矢尾定,四条駅（京都市営）,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kyoto/A2601/A260201/26007917/
ランチハウス ミトヤ,池袋駅,3.49,～￥999,～￥999,https://tabelog.com/tokyo/A1305/A130501/13015764/
お食事処おさない,青森駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/aomori/A0201/A020101/2000071/
柳ばし,千歳駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/hokkaido/A0107/A010701/1005979/
九絵,大岡山駅,3.49,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1317/A131711/13040797/
こづち,恵比寿駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1303/A130302/13001589/
酒津屋 中店,栄駅（名古屋）,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/aichi/A2301/A230103/23026020/
おきよ,赤坂駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/fukuoka/A4001/A400104/40000036/
味の大番,十条駅,3.49,～￥999,～￥999,https://tabelog.com/tokyo/A1323/A132304/13009906/
キッチン マミー,神保町駅,3.49,"￥1,000～￥1,999",-,https://tabelog.com/tokyo/A1310/A131003/13006415/
食事処 酒肴 浅草 水口,浅草駅（つくばＥＸＰ）,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1311/A131102/13020182/
d47食堂,渋谷駅,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/tokyo/A1303/A130301/13140335/
しょうが焼きBaKa 神保町本店,神保町駅,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1310/A131003/13240305/
村民食堂,中軽井沢駅,3.49,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/nagano/A2003/A200301/20000413/
なかよし食堂,沖縄,3.49,～￥999,～￥999,https://tabelog.com/okinawa/A4705/A470501/47001385/
市場食堂 よし,下関駅,3.49,"￥1,000～￥1,999",-,https://tabelog.com/yamaguchi/A3502/A350201/35000011/
とうふの比嘉,沖縄,3.49,～￥999,～￥999,https://tabelog.com/okinawa/A4705/A470501/47001361/
一力,日比野駅（名古屋市営）,3.49,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/aichi/A2301/A230112/23003101/
酒処 つがる,品川駅,3.49,"￥1,000～￥1,999","￥4,000～￥4,999",https://tabelog.com/tokyo/A1314/A131403/13049580/
三ちゃん食堂,新丸子駅,3.49,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/kanagawa/A1405/A140504/14003565/
まるは食堂 ラシック店,栄駅（名古屋）,3.48,"￥1,000～￥1,999","￥3,000～￥3,999",https://tabelog.com/aichi/A2301/A230103/23000411/
まるは食堂 中部国際空港店,中部国際空港駅,3.47,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/aichi/A2304/A230402/23000872/
