店舗名,最寄り,評価,ランチ,ディナー,URL
なにわ天ぷら 維心,北新地駅,3.59,"￥6,000～￥7,999","￥15,000～￥19,999",https://tabelog.com/osaka/A2701/A270101/27095310/
天ぷら いせ,大森海岸駅,3.59,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1315/A131502/13042563/
天すけ,高円寺駅,3.58,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1319/A131904/13010553/
光村,清水駅,3.58,"￥1,000～￥1,999","￥2,000～￥2,999",https://tabelog.com/aichi/A2301/A230110/23000086/
越後前 天麸羅 すず季,白山駅,3.57,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/niigata/A1501/A150101/15019070/
北新地 天富,北新地駅,3.57,"￥2,000～￥2,999","￥15,000～￥19,999",https://tabelog.com/osaka/A2701/A270101/27002018/
天ぷら すず航,茅場町駅,3.57,-,"￥10,000～￥14,999",https://tabelog.com/tokyo/A1302/A130203/13022902/
てんぷら 真,銀座駅,3.57,"￥8,000～￥9,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1301/A130101/13094471/
てんぷら黒川,築地駅,3.57,"￥2,000～￥2,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1313/A131301/13002365/
天秀,新宿西口駅,3.57,"￥5,000～￥5,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1304/A130401/13017455/
てんぷら 山の上 三越日本橋店内,三越前駅,3.56,"￥3,000～￥3,999","￥3,000～￥3,999",https://tabelog.com/tokyo/A1302/A130202/13044042/
天茂,赤坂駅,3.54,"￥2,000～￥2,999","￥10,000～￥14,999",https://tabelog.com/tokyo/A1308/A130801/13002795/
熱々天ぷら 虎之介,東海学園前駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/kumamoto/A4301/A430101/43012168/
天ぷらふく西 禅と匠,みなとみらい駅,3.54,"￥2,000～￥2,999","￥15,000～￥19,999",https://tabelog.com/kanagawa/A1401/A140103/14045692/
天ぷら 中山,人形町駅,3.54,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130204/13018093/
てんぷら 山の上 Roppongi 東京ミッドタウン店,乃木坂駅,3.53,"￥10,000～￥14,999","￥20,000～￥29,999",https://tabelog.com/tokyo/A1307/A130701/13037326/
天ぷらめし 金子半之助 日本橋店,三越前駅,3.52,"￥1,000～￥1,999","￥1,000～￥1,999",https://tabelog.com/tokyo/A1302/A130202/13166596/
芦屋天がゆ ルクア大阪店,大阪駅,3.52,"￥2,000～￥2,999","￥2,000～￥2,999",https://tabelog.com/osaka/A2701/A270101/27057135/
天ぷら 阿部 銀座本店,銀座駅,3.50,"￥1,000～￥1,999","￥8,000～￥9,999",https://tabelog.com/tokyo/A1301/A130101/13092132/
天ぷら 船橋屋 新宿本店,新宿三丁目駅,3.49,"￥1,000～￥1,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1304/A130401/13012090/
天政 羽田空港店,羽田空港第２ターミナル駅（東京モノレール）,3.49,"￥3,000～￥3,999","￥6,000～￥7,999",https://tabelog.com/tokyo/A1315/A131504/13010800/
天ぷらとワイン 小島 本店,国際センター駅,3.49,～￥999,"￥5,000～￥5,999",https://tabelog.com/aichi/A2301/A230101/23056897/
